	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42
SMIC.006.01.Day.02	0.000260035754916	9.75134080936e-05	9.75134080936e-05	0.000130017877458	0.000130017877458	0.000227531285552	0.0	0.0	9.75134080936e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000617584917926	0.0	3.25044693645e-05	0.0225255972696	0.000227531285552	0.000195026816187	0.000162522346823	0.00162522346823	0.000130017877458	0.0	0.0	0.0	0.0	0.0	0.000227531285552	0.000195026816187	3.25044693645e-05	3.25044693645e-05	0.0	0.0	0.0	0.00035754916301	0.00035754916301	0.0	3.25044693645e-05	6.50089387291e-05
SMIC.014.02.Day.02	0.000117426021606	0.000440347581024	0.0	0.000146782527008	0.0	2.93565054016e-05	0.0	0.000146782527008	0.000117426021606	0.000381634570221	2.93565054016e-05	0.0	0.0	0.0	0.0	2.93565054016e-05	0.0	0.000117426021606	0.0	2.93565054016e-05	0.0267731329263	0.000117426021606	0.0	0.0	0.000117426021606	0.0430953499295	0.0	0.0	0.00091005166745	8.80695162048e-05	0.0	8.80695162048e-05	0.0142379051198	2.93565054016e-05	0.0	0.0	5.87130108032e-05	0.0	0.0133865664631	0.000293565054016	0.0	0.0	0.000704556129638
SMIC.031.04.Day.02	9.02011485613e-05	6.01340990409e-05	0.000240536396163	3.00670495204e-05	6.01340990409e-05	3.00670495204e-05	0.0	0.0	3.00670495204e-05	0.0	0.0	9.02011485613e-05	0.0	0.0	0.0	0.0	3.00670495204e-05	9.02011485613e-05	0.0	3.00670495204e-05	0.00604347695361	0.00108241378274	0.0	0.0	0.000300670495204	0.0044198562795	0.0	6.01340990409e-05	3.00670495204e-05	0.0	0.0	0.000451005742806	0.000300670495204	3.00670495204e-05	0.0	0.0	0.0	0.0	0.0	6.01340990409e-05	0.0	3.00670495204e-05	0.000360804594245
SMIC.005.01.Day.02	0.00015105414212	0.0001078958158	0.0	8.63166526402e-05	0.0	0.000604216568481	0.0	2.15791631601e-05	0.000323687447401	0.000237370794761	0.000388424936881	0.0	0.143005114262	0.0	0.0	0.0	0.0	8.63166526402e-05	0.0	0.000323687447401	0.00446688677413	0.000388424936881	8.63166526402e-05	2.15791631601e-05	0.00015105414212	0.00176949137912	0.0	0.000410004100041	0.00202844133704	0.00019421246844	0.0	0.00114369564748	0.00166159556332	4.31583263201e-05	0.0	2.15791631601e-05	4.31583263201e-05	2.15791631601e-05	0.00243844543709	8.63166526402e-05	0.0	4.31583263201e-05	0.000733691547442
SMIC.006.02.Day.02	0.00434044159275	0.000188714851859	0.0	0.00154117129018	0.0	0.00305089010505	0.0	0.0	0.000786311882745	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00163552871611	3.14524753098e-05	0.000251619802478	0.0	0.0	0.00355412971001	0.0	0.0	0.0281499654023	0.0	0.0	0.0	0.000597597030886	9.43574259294e-05	0.0	0.000188714851859	0.0	0.0	0.0	0.000125809901239	0.0	3.14524753098e-05	9.43574259294e-05
SMIC.009.01.Day.02	0.00111829460073	0.000104840118819	0.0	0.00132797483837	0.0	0.0	0.0	0.0	0.00118818801328	0.0	0.0	0.000698934125459	0.0	0.0	0.0	0.0	0.0	0.000104840118819	0.0	0.0	0.0150270836974	0.0	0.0	0.000139786825092	0.000209680237638	0.00139786825092	0.0	6.98934125459e-05	6.98934125459e-05	0.00136292154464	3.49467062729e-05	0.000174733531365	0.00663987419186	0.0	0.0	0.0	0.0	0.0	6.98934125459e-05	0.000733880831732	0.0	0.0	0.000244626943911
SMIC.026.02.Day.02	3.76123669463e-05	7.52247338925e-05	3.76123669463e-05	0.000827472072818	7.52247338925e-05	3.76123669463e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000188061834731	0.0	0.00402452326325	0.0288486854478	3.76123669463e-05	0.000451348403355	0.0	0.000376123669463	0.00120359574228	0.0	0.0	0.000150449467785	0.0	0.0	0.0	0.000564185504194	0.0	0.0	0.0	0.0	0.0	0.000376123669463	0.000376123669463	0.0	0.0	0.000789859705871
SMIC.042.01.Day.02	0.000230485556238	0.000268899815612	0.0	0.00203595574677	0.0	0.000192071296865	3.84142593731e-05	3.84142593731e-05	0.000192071296865	0.000806699446835	0.0	0.000460971112477	0.0	7.68285187462e-05	0.0	3.84142593731e-05	0.0	0.000230485556238	3.84142593731e-05	0.000345728334358	0.045405654579	0.000153657037492	3.84142593731e-05	0.0	0.000230485556238	0.00314996926859	0.0	0.0	0.00307314074985	7.68285187462e-05	0.0	7.68285187462e-05	0.00702980946527	0.0	0.0	3.84142593731e-05	3.84142593731e-05	3.84142593731e-05	0.000153657037492	0.00130608481868	0.0	0.0	0.00702980946527
SMIC.026.01.Day.02	5.46373446251e-05	0.00032782406775	0.0	5.46373446251e-05	0.0	0.00010927468925	2.73186723125e-05	0.0	8.19560169376e-05	0.0	0.0	0.0015298456495	0.0	2.73186723125e-05	0.0	0.0	0.0	0.00010927468925	0.0	0.0	0.0420161180167	0.0002185493785	0.000136593361563	0.0	0.000628329463188	0.00357874607294	0.0	0.0	0.000382461412375	0.000928834858626	0.0	0.000437098757	0.00188498838956	0.000136593361563	0.0	2.73186723125e-05	0.0	2.73186723125e-05	0.00125665892638	0.000628329463188	0.0	0.000136593361563	0.000628329463188
SMIC.016.02.Day.02	0.000602409638554	0.0013143483023	0.000328587075575	0.0013691128149	0.0	0.0	0.0	0.0	5.47645125958e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000547645125958	0.0	0.000492880613363	0.0153340635268	0.0	0.000109529025192	0.000109529025192	0.000383351588171	0.0130339539978	0.0	0.0	0.00405257393209	0.00104052573932	0.0	0.000219058050383	0.0426615553122	0.0	0.0	5.47645125958e-05	0.0	0.0	0.00180722891566	0.000766703176342	0.0	5.47645125958e-05	0.00317634173056
SMIC.013.01.Day.02	4.16319733555e-05	0.000541215653622	0.0	0.000416319733555	0.0	0.000457951706911	0.0	0.0	0.000333055786844	0.000333055786844	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.16319733555e-05	0.0	0.0	0.00632805995004	0.00124895920067	4.16319733555e-05	0.0	4.16319733555e-05	0.00428809325562	0.0	0.0	0.000249791840133	0.0	0.0	0.00378850957535	0.00378850957535	0.0	0.0	4.16319733555e-05	0.0	0.0	0.00108243130724	0.0	0.0	0.0	0.00228975853455
SMIC.031.01.Day.02	0.00104594094457	2.68189985786e-05	0.00018773299005	0.00155550191756	0.0	5.36379971572e-05	2.68189985786e-05	0.0	0.000134094992893	0.0	0.0	0.000455922975836	0.0	0.0	0.0	0.0	0.0	0.00056319897015	0.0	0.000402284978679	0.0395043849063	0.000295008984365	0.0	5.36379971572e-05	0.00303054683938	0.00227961487918	2.68189985786e-05	0.000455922975836	0.000134094992893	5.36379971572e-05	0.0	0.000697293963043	0.00514924772709	0.0	8.04569957358e-05	0.0	0.0	8.04569957358e-05	0.000107275994314	0.00182369190334	5.36379971572e-05	2.68189985786e-05	0.0
SMIC.012.01.Day.02	0.000166014466975	0.000308312581525	0.0	0.0176686825566	0.0	0.0001897308194	0.0	0.0	0.000260879876675	2.3716352425e-05	0.0	0.000118581762125	0.0	0.0	2.3716352425e-05	0.0	0.0	0.0	0.0	0.000118581762125	0.00362860192102	0.00182615913672	0.000213447171825	0.0	0.000118581762125	0.0235740543104	0.0	0.0	0.000166014466975	7.1149057275e-05	0.0	0.0007589232776	0.00220562077552	9.48654097e-05	0.0	0.0	2.3716352425e-05	0.0	0.0050278667141	2.3716352425e-05	2.3716352425e-05	4.743270485e-05	0.0015178465552
SMIC.035.03.Day.02	0.000420470927439	0.000120134550697	0.000210235463719	0.0018620855358	0.0	3.00336376742e-05	0.0	0.000300336376742	0.000300336376742	0.0	0.0	0.0	0.0	0.0	0.0	3.00336376742e-05	0.0	0.000510571840461	0.0	0.000210235463719	0.0127642960115	0.000240269101394	0.000120134550697	0.0	0.00132148005766	0.00456511292648	0.0	0.0	0.0	0.00513575204229	0.00120134550697	0.0	0.00243272465161	0.0	0.0	0.0	0.0	0.0	3.00336376742e-05	0.000120134550697	0.0	3.00336376742e-05	0.00264296011533
SMIC.020.01.Day.02	2.42742013788e-05	0.0	0.0	9.70968055151e-05	0.000218467812409	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00237887173512	0.0108262938149	7.28226041363e-05	0.000315564617924	0.0	9.70968055151e-05	0.000169919409651	0.0	2.42742013788e-05	2.42742013788e-05	0.0	0.0	0.0	0.000218467812409	0.0	0.0	0.0	0.0	0.0	0.000655403437227	0.0	0.0	0.0	0.0
